TP_FUNDO;CNPJ_FUNDO;DT_COMPTC;VL_TOTAL;VL_QUOTA;VL_PATRIM_LIQ;CAPTC_DIA;RESG_DIA;NR_COTST
FI;47.212.476/0001-50;2023-07-03;1899103.95;1.018704700000;1898671.72;0.00;0.00;1
FI;47.212.494/0001-31;2023-07-03;1900784.86;1.022612700000;1899104.08;0.00;0.00;1
FI;47.212.505/0001-83;2023-07-03;5453827.72;10.225475500000;5443865.31;200.00;0.00;1
FI;47.227.545/0001-07;2023-07-03;38771469.87;115.356268970000;69451408.71;212000.00;0.00;1
FI;47.227.862/0001-15;2023-07-03;105993044.44;1.044648400000;105987131.61;0.00;0.00;1
FI;47.228.177/0001-03;2023-07-03;103125282.62;101.235956500000;101235956.55;0.00;0.00;1
FI;47.240.699/0001-20;2023-07-03;10525741.63;1.157348210000;10518326.90;0.00;0.00;1
FI;47.240.748/0001-25;2023-07-03;2982523.76;1.065994460000;2976820.38;0.00;0.00;14
FI;47.261.992/0001-74;2023-07-03;5888537.96;1.082047600000;5868525.90;0.00;910.00;167
FI;47.262.058/0001-77;2023-07-03;54077559.38;1.072495690000;67622298.14;80880.59;8528.66;98
FI;47.279.822/0001-17;2023-07-03;10395402.03;1.262471710000;10405251.28;0.00;0.00;7
FI;47.280.061/0001-13;2023-07-03;701143.96;0.762124150000;698639.21;0.00;0.00;2
FI;47.293.897/0001-52;2023-07-03;27309320.10;1.104503500000;27282160.54;0.00;0.00;1
FI;47.293.938/0001-00;2023-07-03;209851727.38;1.137756200000;212494094.70;6500000.00;304956.52;208
FI;47.294.000/0001-05;2023-07-03;21231443.81;1.061884230000;21237684.57;0.00;0.00;1
FI;47.294.067/0001-40;2023-07-03;95678258.85;1.004655700000;95692686.65;0.00;0.00;1
FI;47.294.122/0001-00;2023-07-03;10980571.46;1.097913500000;10979135.49;0.00;0.00;1
FI;47.294.155/0001-41;2023-07-03;10358879.91;0.625676700000;10340213.63;0.00;0.00;4
FI;47.294.177/0001-01;2023-07-03;4975954.11;1.008637400000;4974536.03;0.00;0.00;2
FI;47.313.385/0001-00;2023-07-03;140249231.00;8.200347940000;140116783.41;0.00;0.00;5
FI;47.313.423/0001-25;2023-07-03;8294720.77;0.829548400000;8295483.98;0.00;0.00;1
FI;47.313.469/0001-44;2023-07-03;58569932.28;1.038896800000;57420671.37;0.00;0.00;13
FI;47.313.495/0001-72;2023-07-03;25991797.35;1.070853800000;25998570.03;0.00;0.00;1
FI;47.313.528/0001-84;2023-07-03;13191690.33;1.100371360000;13195347.48;0.00;0.00;1
FI;47.328.374/0001-02;2023-07-03;97049303.55;1.142344010000;97062769.18;0.00;460000.00;1
FI;47.328.403/0001-28;2023-07-03;10997905.12;2.662895300000;11000071.40;0.00;0.00;1
FI;47.328.446/0001-03;2023-07-03;37816646.76;1.060898000000;37704528.16;2000000.00;0.00;7
FI;47.328.477/0001-64;2023-07-03;40250810.79;1.088378700000;40023211.18;0.00;0.00;5
FI;47.328.494/0001-00;2023-07-03;5520642.59;0.939360800000;5513460.83;4600.00;0.00;590
FI;47.328.578/0001-35;2023-07-03;14912586.69;1.096786300000;14910043.10;0.00;0.00;111
FI;47.350.379/0001-23;2023-07-03;278433944.16;1171.251632290000;278452990.64;0.00;0.00;1
FI;47.350.479/0001-50;2023-07-03;2373276.41;1.096787600000;2352902.31;0.00;0.00;5
FI;47.350.526/0001-65;2023-07-03;1121746.64;1.140490000000;1111419.59;0.00;0.00;1
FI;47.350.550/0001-02;2023-07-03;11847692.49;1.087921200000;11849766.88;0.00;0.00;1
FI;47.350.581/0001-55;2023-07-03;42198319.05;1.061293500000;42154545.04;162831.41;0.00;1
FI;47.350.604/0001-21;2023-07-03;31912536.52;1.061713340000;31873667.85;60571.40;0.00;1
FI;47.350.639/0001-60;2023-07-03;39539640.74;108.602258200000;39535806.61;0.00;0.00;1
FI;47.350.670/0001-00;2023-07-03;4551551.78;1.049783900000;4553951.24;0.00;0.00;1
FI;47.350.695/0001-03;2023-07-03;3499164.84;1.200785100000;3495194.01;0.00;0.00;2
FI;47.371.546/0001-12;2023-07-03;31775709.09;1.039737940000;31770497.84;0.00;0.00;1
FI;47.371.630/0001-36;2023-07-03;26378964.35;1.055017216000;26375430.39;0.00;0.00;1
FI;47.372.432/0001-97;2023-07-03;20113966.01;0.982452877000;19931583.53;0.00;0.00;1
FI;47.372.465/0001-37;2023-07-03;39355708.27;1.110917634000;39345175.27;0.00;0.00;1
FI;47.372.517/0001-75;2023-07-03;7742110.54;1.075574951000;7743423.74;0.00;0.00;2
FI;47.372.540/0001-60;2023-07-03;2070281.55;1.003168638000;2059003.75;0.00;2193.66;203
FI;47.372.576/0001-43;2023-07-03;2223690.21;1.067322088000;2220307.81;861.05;10.90;193
FI;47.372.648/0001-52;2023-07-03;2722706.37;1077.961680820000;2724832.80;0.00;0.00;1
FI;47.372.720/0001-41;2023-07-03;15027480.00;333.198459400000;15028803.26;100000.00;0.00;2
FI;47.388.308/0001-10;2023-07-03;1143701.96;0.949289719000;1139247.93;0.00;0.00;2
FI;47.388.336/0001-37;2023-07-03;32401204.84;1.080854520000;32282412.06;0.00;0.00;1
FI;47.388.362/0001-65;2023-07-03;1254501.17;1.043200326000;1252610.83;0.00;0.00;5
FI;47.388.398/0001-49;2023-07-03;17372362.93;1.090213468000;17374533.36;153035.58;500270.34;8208
FI;47.388.421/0001-03;2023-07-03;57306410.90;1.090023896000;57196213.90;0.00;0.00;1
FI;47.409.897/0001-75;2023-07-03;144316619.17;1.111432610000;144331302.41;10000000.00;0.00;5
FI;47.409.920/0001-21;2023-07-03;20958008.67;1.049162500000;21650270.81;0.00;0.00;1
FI;47.409.927/0001-43;2023-07-03;201877110.92;1.120186300000;200283252.65;1109904.21;474246.95;1069
FI;47.409.947/0001-14;2023-07-03;120363198.87;1.104728100000;120361981.49;0.00;0.00;198
FI;47.409.965/0001-04;2023-07-03;32298030.34;1.096470800000;32293622.51;0.00;0.00;1
FI;47.409.999/0001-90;2023-07-03;4396946.61;1.092098490000;4394567.93;0.00;0.00;1
FI;47.410.029/0001-05;2023-07-03;82187520.28;1.230705610000;82197597.20;0.00;0.00;154
FI;47.410.037/0001-51;2023-07-03;6963279.70;0.740459600000;6961247.53;0.00;0.00;1
FI;47.423.700/0001-52;2023-07-03;18761691.16;0.979829630000;18753209.86;0.00;0.00;1
FI;47.423.757/0001-51;2023-07-03;3297774.47;1.066349600000;3292449.75;0.00;0.00;4
FI;47.423.894/0001-96;2023-07-03;10563011.89;1.057313690000;10557365.50;0.00;0.00;1
FI;47.424.092/0001-09;2023-07-03;33585681.95;1.054096210000;33573679.03;0.00;0.00;1
FI;47.443.943/0001-52;2023-07-03;102810269.39;1.109751500000;102827442.75;0.00;0.00;1
FI;47.443.954/0001-32;2023-07-03;42667511.97;1.006589800000;42668198.85;0.00;0.00;25
FI;47.443.963/0001-23;2023-07-03;66047878.93;1032.625655300000;66492249.43;0.00;0.00;1
FI;47.443.976/0001-00;2023-07-03;14044193.83;1.071269100000;14042054.36;0.00;0.00;1
FI;47.443.993/0001-30;2023-07-03;87786510.06;1.097350050000;87788004.07;0.00;0.00;10
FI;47.444.026/0001-92;2023-07-03;21078525.16;1.072139500000;21085040.23;0.00;0.00;1
FI;47.444.035/0001-83;2023-07-03;166313030.82;103.869322100000;166017349.72;0.00;0.00;3195
FI;47.444.058/0001-98;2023-07-03;80179502.19;1094.093494250000;79961963.46;259310.22;0.00;421
FI;47.444.074/0001-80;2023-07-03;4023990.81;1.044308500000;4005545.78;0.00;0.00;1
